Mod_Priority,Mod_Name
1,1.1 SKSE PLUGINS_separator
2,Skyrim Script Extender
3,Address Library for SKSE Plugins
4,PapyrusUtil - Scripting Utility Functions
5,Papyrus Extender
6,Console Util
7,Console Commands Extender
8,More Informative Console
9,Scaleform Translation PP
10,ENB Helper
11,ENB Helper Plus
12,ENB Input Disabler
13,Better Jumping
14,JContainers
15,FileAccess Interface for Skyrim Scripts - FISSES
16,Fuz Ro D'oh
17,Net Script Framework
18,Base Object Swapper
19,Keyword Item Distributor
20,Custom Skills Framework
21,Time Format Changer
22,dTry's Key Utils
23,Spell Perk Item Distributor
24,1.2 BUG FIXES & TWEAKS_separator
25,SSE Engine Fixes
26,Bug Fixes
27,SSE Fixes
28,SSE Display Tweaks
29,Mfg Fix
30,Dead Body Cleanup Script Crash Fix
31,Chillwind Depths CTD Fix
32,Dragon Mounds CTD Fix
33,Scrambled Bugs
34,Survival Mode Prompt Removed
35,Recursion Fix
36,Powerofthree's Tweaks
37,Powerofthree's Tweaks - Settings
38,Papyrus Tweaks NG
39,Papyrus Tweaks NG - Settings
40,Unofficial Skyrim Special Edition Patch
41,Unofficial Skyrim Creation Club Content Patch
42,1.3 ALTERNATE START_separator
43,Skyrim Unbound Reborn
44,Skyrim Unbound Nolvus Preset
45,2.1 HUDS_separator
46,Sky UI
47,MCM Helper
48,SkyHUD
49,UI Extensions
50,Infinity UI
51,Add Item Menu
52,True HUD
53,moreHUD
54,moreHUD - Settings Loader
55,moreHUD - Nolvus Settings
56,moreHUD - Inventory Edition
57,NORDIC UI - Interface Overhaul
58,NORDIC UI - Better Scroll Bar - SkyUI
59,NORDIC UI - Better Scroll Bar - Crafting menu
60,NORDIC UI - Miscellaneous Patches
61,NORDIC UI - Compass Markers Restored
62,NORDIC UI - Markers
63,NORDIC UI - Sleep Wait Menu
64,NORDIC UI - True HUD Preset
65,NORDIC UI - Nolvus Settings
66,NORDIC UI - Clean StartMenu
67,Contextual Crosshair
68,Toggle Compass
69,Compass Navigation Overhaul
70,Compass Navigation Overhaul - NORDIC UI Skin
71,QuickLoot EE
72,QuickLoot EE - Settings Loader
73,QuickLoot EE - Nordic UI Patch
74,A Matter Of Time
75,A Matter Of Time - Settings Loader
76,A Matter Of Time - Nolvus Settings
77,A Matter Of Time - Seasons
78,Widget Mod
79,Widget Mod - Settings Loader
80,Widget Mod - Nolvus Settings
81,Widget Mod - Elden Ring
82,Oxygen Meter 2
83,Oxygen Meter 2 - Nordic UI Patch
84,Detection Meter
85,Detection Meter - SkyAltert Redesign
86,iEquip
87,iEquip - Settings Loader
88,iEquip - Nolvus Settings
89,Easy Wheel Menu
90,Easy Wheel Menu - Settings Loader
91,Easy Wheel - Nolvus Settings
92,iWant Widgets
93,Better Third Person Selection
94,Better Third Person Selection - Nolvus Settings
95,Stay At System Page
96,Whose Quest Is It Anyway
97,Gold To Septims - Weightless
98,Custom Skill Menu
99,Custom Skill Menu - Basic Icon Pack
100,Custom Skill Menu - NORDIC UI
101,Horse Stamina HUD
102,Show Player In Menus
103,Show Player in Menus - Nolvus Settings
104,Floating Damage
105,Floating Damage - Preset
106,Inventory Interface Information Injector
107,Inventory Interface Information Injector - Patch
108,SkyUI Weapons Pack Icons
109,Object Categorization Framework
110,The Handy Icon Collection Collective
111,B.O.O.B.I.E.S (aka Immersive Icons)
112,A.S.S. (A Food and Alchemy Addon for B.O.O.B.I.E.S.)
113,Phenomenally Enriched and Nuanced Ingredients for SkyUI
114,2.2 HOTKEYS_separator
115,Extended Hotkey System
116,UI-Integrated Hotkeys System
117,2.3 SCREEN FONTS & MAP_separator
118,HD Local Map
119,Atlas Map Markers
120,Atlas Map Markers - Discrepancy's Greenwood Shack Patch
121,Sovngarde - Mist's Font Replacer Light
122,Font Overhaul - Natural Typefaces
123,Skyrim SE Skill Interface Re-Texture
124,The Elder Scrolls Legends - Loading Screens
125,The Elder Scrolls Legends - Loading Screens - Textures [2K]
126,The Last Dovahkiin - Main Menu Redesign
127,Unread Books Glow
128,2.4 CHARACTER_separator
129,RaceMenu Special Edition
130,RaceMenu Special Edition - Hotfix
131,RaceMenu High Heels Fixes
132,Player Rotation in ShowRaceMenu
133,3. MUSIC & SOUNDS_separator
134,Still - Skyrim Inspired Music
135,Chapter II - Jeremy Soule Inspired Music
136,Melodies of Civilization
137,Hun - Lovaas
138,Nyghtfall Music
139,The Northerner Diaries
140,The Elder Songs
141,Songs to Play Skyrim
142,BA Bard Songs
143,Nolvus Ascension - Music Patch
144,Audio Overhaul for Skyrim
145,Immersive Sounds - Compendium
146,Immersive Sounds - Audio Overhaul Patch Redux
147,Immersive Sounds - Creation Club Armours
148,Sounds of Skyrim Complete
149,Phoenix Compendium
150,Thundering Shouts
151,Improved River Sound
152,Louder Nature - Birds and Insects
153,Authentic Wolf Howls and Aggro
154,More Painful NPC Death Sounds
155,More Painful NPC Death Sounds - Update
156,NPC Dialogue Audio Enhancer
157,The Elder Scrolls Theme Mashup
158,Yggdrasil SoundFX
159,Epic UI Audio
160,Meridia Revoiced
161,New Game Sound on Continue
162,Sound Fix for Large Sector Drives
163,Bleeding Edge - Bladed Weapons SFX Overhaul
164,Bleeding Edge - Sword Alternative
165,Skullbreaker - Blunt Weapons SFX
166,Bulwark - Shield Audio Overhaul
167,Deathrattle - Maximum Carnage Audio Replacer
168,Combat Music Fix
169,Nolvus Ascension - Sound Patch
170,4. DLC MODS QUESTS & CONTENT ADDONS_separator
171,Legacy of the Dragonborn
172,Legacy of the Dragonborn - Sunder and Wraithguard
173,Legacy of the Dragonborn - Creation Club Patch
174,Legacy of the Dragonborn - The Curators Companion
175,Legacy of the Dragonborn - Museum Exterior Fixes
176,Legacy of the Dragonborn - Player Homes
177,Legacy of the Dragonborn - Player Homes - Curator Patch
178,Legacy of the Dragonborn - Hall of Forgotten
179,Legacy of the Dragonborn - Hall of Forgotten - TCC
180,Legacy of the Dragonborn - Collectors
181,Beyond Skyrim - Assets
182,Beyond Skyrim - Bruma
183,Beyond Skyrim - Bruma Hotfix
184,Beyond Skyrim - DLC Integration
185,Legacy of the Dragonborn - Bruma Synergy Patch
186,Legacy of the Dragonborn - Bruma Synergy Patch - HoF Display
187,Legacy of the Dragonborn - Bruma Synergy Patch - Curator
188,Wyrmstooth
189,Wyrmstooth - Optimized Textures
190,Wyrmstooth - WoW Dragon Mounds CTD Fix Patch
191,The Wheels of Lull
192,Vigilant
193,Vigilant - English Voices Addon
194,Unslaad
195,Unslaad - English Voices Addon
196,Unslaad - Starting Requirements
197,Unslaad - Unofficial Legacy of the Dragonborn Patch
198,The Forgotten City
199,The Forgotten City - Music Patch
200,Immersive World Encounters
201,Sidequests of Skyrim
202,Cutting Room Floor
203,Project AHO
204,Project AHO - ESM Flag Edition
205,Project AHO - Parallax Patch
206,Project AHO - Bugfix and Improvement
207,Project AHO - CRF Spell Crafting Patch
208,Project AHO - ENB Patch
209,Project AHO - Start when you want
210,Konarik's Accoutrements
211,Konarik's Accoutrements - Upscaled Textures
212,College of Winterhold - Quest Expansions
213,Undeath Remastered
214,Undeath Remastered - Facegen Data Patch
215,Undeath - Classical Lichdom
216,Undeath - Classical Lichdom - Cleaned and Enhanced Textures [2K]
217,The Sinister Seven
218,The Sinister Seven Patch - LOTD Patch
219,Carved Brink
220,Carved Brink - Unofficial Patch
221,Darkend
222,Nolvus Ascension DLC Patch
223,5.1 BASE TEXTURES & MODELS_separator
224,Particle Patch for ENB
225,Static Mesh Improvement Mod
226,Static Mesh Improvement Mod - Quality Addon
227,Skyrim Landscape and Water Fixes
228,Unofficial Material Fix
229,Assorted Mesh Fixes
230,Assorted Mesh Fixes Parallax
231,Assorted Bruma Mesh Fixes
232,Dlizzio's Mesh Fixes
233,Dlizzio's Mesh Fixes - Parallax Mesh Patch
234,Assorted Mesh Fixes - Unofficial Material Fix Patch
235,SMIM - Quality Addon - Unofficial Material Fix Patch
236,Ruins Clutter Improved
237,Ruins Clutter Improved - Fixes
238,Noble Skyrim
239,Noble Skyrim - SMIM Patch
240,Noble Skyrim - Material Fix
241,Skyrim 202X [2K]
242,Skyrim 202X [2K] - Update
243,Nolvus Ascension Visual Base Patch
244,5.2 LODS_separator
245,DynDOLOD Resources
246,DynDOLOD - DLL - NG + Scripts
247,HD Lods Textures
248,HD Lods Textures - Dlizzio's Mesh Fixes Patch
249,5.3 LANDSCAPE_separator
250,Blended Roads
251,Blended Roads Meshes
252,Blended Roads Redone 4K
253,Blended Roads Redone Bridges 8K
254,Skyrim Terrain Parallax
255,Skyrim 2020 - Wet Mud texture alternatives [2K]
256,Landscape Fixes For Grass Mods
257,Landscape Fixes For Grass Mods - CRF Patch
258,Landscape Seam Fixes
259,Rally's Solstheim Landscapes [2K]
260,Rally's Solstheim Landscapes - Complex Terrain Parallax [2K]
261,Seasonal Landscapes
262,Rudy - More dramatic Red Mountain Plume
263,Blended Roads - Parallax
264,5.4 ICE SNOW & ASHES_separator
265,Skyrim Remastered - Glaciers and Ice
266,Skyrim Remastered - Glaciers and Ice LODs
267,Transparent and refracting Icicle and Frost Atronach
268,Refracting Ice Form Debris
269,Simplicity of Snow
270,Simplicity of Snow - Parallax Meshes
271,CG4 Snow Effects
272,Better Dynamic Ash
273,Footprints
274,Footprints - Sand Patch
275,Footprints - Vigilant Patch
276,Footprints - Soul Cairn Patch
277,Animated Ice Floes
278,5.5 MOUNTAINS & ROCKS_separator
279,Majestic Mountains Main
280,Majestic Mountains - More Accurate Collision
281,Majestic Mountains - Simplicity of Snow Patch
282,Skyrim - A Mountainous Experience
283,Majestic Mountains - More Accurate Collision - AME Patch
284,Majestic Mountains - Lods
285,Northfires Photoreal Mountains 3 for Majestic Mountains [4K]
286,HD Stone Quarry and Clay Deposit [2K]
287,Nolvus Ascension Mountains Patch
288,Northfire's Dirtcliffs - Parallax
289,5.6.1 TREES & BARK_separator
290,Nature of the Wild Lands
291,Nature of the Wild Lands - Quercus
292,Skyrim 3D Trees and Plants
293,Happy Little Trees
294,Happy Little Trees - 3D Lods
295,Blubbo Tree Pine Forest Dead
296,Blubbo Pines
297,Blubbo Pines 2022 v3
298,Blubbo Pines 2022 v3 (Set 1)
299,Blubbo Snow Pines
300,Treerific
301,Aspens Ablaze
302,Aspens Ablaze Seasons
303,Blubbo Seasonal Aspen Replacer
304,Blubbo Seasonal Aspen Replacer [2K]
305,Blubbo Reach Tree Replacer
306,Blubbo Reach Cliff Tree Replacer
307,Reach Tree Fixes for Blubbos Tree Replacer for Reach
308,Bent Pines II
309,Bent Pines II - Seasons
310,Immersive Fallen Trees
311,Immersive Fallen Trees Patch
312,Removing Ugly Details from Logs
313,Remove Hanging Moss From Trees
314,Alpine Forest of Whiterun Valley
315,Nolvus Ascension Trees Addon
316,Nolvus Ascension Seasonal Tree Mashup
317,Dense Nordic Forests
318,5.6.2 GRASS_separator
319,Mixed Grass
320,Tamrielic Grass
321,Tamrielic Grass - ENB Complex Grass
322,Veydosebrom Regions
323,Folkvangr - Grass and Landscape Overhaul
324,Folkvangr - Summer Tundra
325,Folkvangr - Summer Tundra - ENB Complex Grass
326,Origins Of Forest - 3D Forest Grass
327,Origins Of Forest - 3D Forest Grass - ENB Complex Grass
328,Cathedral - 3D Pine Grass - Full 3D Coverage
329,Cathedral - 3D Pine Grass - ENB Complex Grass
330,Less Ugly Tundragrass
331,Nolvus Ascension Seasonal Grass Mashup
332,No Grass in Objects
333,5.6.3 PLANTS_separator
334,Unique Flowers and Plants
335,Unique Flowers and Plans - ESL
336,Seasonal Unique Flowers and Plants
337,Rallys Hanging Moss
338,Waterplants
339,Seasonal Water Lilies
340,Animated Water Lily
341,HD Photorealistic Ivy
342,Cathedral Mushrooms
343,Rallys Blackreach Mushroom [2K]
344,Rudy HQ - Falling Leaves and Needles
345,Rally's Solstheim Plants [2K]
346,Rally's Solstheim Plants LOD
347,High Poly Gleamblossoms
348,Cathedral - 3D Snow Berries
349,Cathedral - 3D Mountain Flowers
350,Cathedral - 3D Mountain Flowers - Hearthfire Patch
351,Cathedral - 3D Mountain Flowers - Landscape and Water Fix
352,Cathedral - 3D Mountain Flowers - Legacy of The Dragonborn Patch
353,Cathedral - 3D Mountain Flowers - Lotd Player Homes Patch
354,Cathedral - 3D Thistle
355,Cathedral - 3D Lavender
356,Cathedral - 3D Clovers
357,Cathedral - 3D Tundra Cotton
358,Nightshade by Mari
359,Jazbay by Mari [2K]
360,Swamp fungal pod by Mari [2K]
361,Juniper by Mari [2K]
